file1,file2,tfidf_similarity_lemmatized,bow_similarity_lemmatized,tfidf_similarity_non_lemmatized,bow_similarity_non_lemmatized
anamnesis.json,dentalfillingconsent.json,9.05,15.03,8.17,13.95
anamnesis.json,endodonticform.json,7.22,12.4,7.33,12.74
anamnesis.json,generalconsentinformationform.json,10.36,16.07,9.66,15.18
anamnesis.json,implantform.json,4.92,9.13,5.02,9.31
anamnesis.json,informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,9.51,14.86,9.22,14.45
anamnesis.json,informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,9.46,14.85,9.22,14.49
anamnesis.json,kvkk.json,3.17,5.97,2.75,5.19
anamnesis.json,orthodontictreatmentwithremovableapplianceconsentform.json,10.69,16.54,10.05,15.52
anamnesis.json,orthognathicform.json,9.87,15.3,9.23,14.44
anamnesis.json,orthognathicsurgeryform.json,13.78,22.21,12.23,19.98
anamnesis.json,reinforcement.json,8.83,15.39,7.83,13.87
anamnesis.json,sinuslift.json,6.57,11.86,6.46,11.67
anamnesis.json,termination.json,10.48,17.61,9.91,16.9
anamnesis.json,terminationandwithdrawal.json,10.79,17.99,10.84,18.07
dentalfillingconsent.json,endodonticform.json,63.69,74.26,57.53,70.23
dentalfillingconsent.json,generalconsentinformationform.json,64.1,71.0,47.81,58.02
dentalfillingconsent.json,implantform.json,28.44,39.29,23.29,33.68
dentalfillingconsent.json,informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,68.13,73.15,56.49,62.63
dentalfillingconsent.json,informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,68.73,73.74,56.72,62.81
dentalfillingconsent.json,kvkk.json,9.22,14.43,6.94,11.31
dentalfillingconsent.json,orthodontictreatmentwithremovableapplianceconsentform.json,65.99,72.08,55.5,62.31
dentalfillingconsent.json,orthognathicform.json,67.12,72.25,55.7,61.87
dentalfillingconsent.json,orthognathicsurgeryform.json,29.03,39.6,23.54,34.87
dentalfillingconsent.json,reinforcement.json,28.92,39.68,23.98,33.47
dentalfillingconsent.json,sinuslift.json,19.9,29.15,14.63,22.79
dentalfillingconsent.json,termination.json,29.2,38.03,25.68,34.43
dentalfillingconsent.json,terminationandwithdrawal.json,26.69,35.62,25.7,34.97
endodonticform.json,generalconsentinformationform.json,53.47,61.85,41.03,52.7
endodonticform.json,implantform.json,25.87,37.32,22.62,33.99
endodonticform.json,informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,57.79,64.78,48.96,57.89
endodonticform.json,informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,57.88,65.01,48.83,58.03
endodonticform.json,kvkk.json,6.44,10.77,5.63,9.6
endodonticform.json,orthodontictreatmentwithremovableapplianceconsentform.json,56.67,64.57,49.44,58.57
endodonticform.json,orthognathicform.json,57.79,64.84,49.02,57.8
endodonticform.json,orthognathicsurgeryform.json,23.24,34.3,19.55,30.64
endodonticform.json,reinforcement.json,33.38,46.12,31.53,43.68
endodonticform.json,sinuslift.json,15.71,24.6,12.28,20.16
endodonticform.json,termination.json,36.08,47.74,33.24,45.01
